"twitter","negative","126872316142559232"
"google","neutral","126493370028797953"
"twitter","neutral","126870756926816256"
"google","neutral","126503706760974337"
"apple","neutral","125917164535418880"
"microsoft","neutral","126588693577338881"
"apple","positive","125281706327552001"
"apple","negative","126030936084189184"
"google","neutral","126531628087513088"
"twitter","irrelevant","126873660442148865"
"apple","neutral","125379023307153408"
"google","neutral","126498481534808064"
"apple","neutral","125989196132388864"
"twitter","irrelevant","126874145408561152"
"microsoft","neutral","126729179994656769"
"apple","irrelevant","126402391259103232"
"microsoft","positive","126735438948995072"
"microsoft","irrelevant","126591243294748672"
"twitter","neutral","126872299709280256"
"apple","negative","125964314220830722"
"microsoft","positive","126658937155108866"
"google","irrelevant","126531519824142337"
"twitter","neutral","126859432511537152"
"apple","negative","126029733325582336"
"microsoft","neutral","126483887923793920"
"twitter","irrelevant","126866508818296832"
"apple","neutral","125854430171111424"
"microsoft","neutral","126579169646751744"
"google","neutral","126501535160074240"
"google","irrelevant","126489969677176832"
"google","neutral","126528316978102272"
"twitter","neutral","126866438517567488"
"twitter","neutral","126877612214726657"
"apple","neutral","125244798671142912"
"twitter","irrelevant","126866385757417472"
"microsoft","irrelevant","126595424810307584"
"twitter","neutral","126861011813810176"
"twitter","neutral","126863957767110656"
"twitter","neutral","126872958068207616"
"microsoft","negative","126738867087884288"
"apple","positive","125562428200202240"
"twitter","neutral","126866177778655233"
"microsoft","irrelevant","126717214211575808"
"microsoft","irrelevant","126632414830276608"
"microsoft","neutral","126500411522809856"
"microsoft","neutral","126677403480231937"
"twitter","neutral","126872201663229952"
"google","neutral","126496395132796929"
"google","positive","126520029410885632"
"twitter","neutral","126878058278952960"
"twitter","neutral","126871041225134080"
"microsoft","negative","126781543879421952"
"twitter","neutral","126872371901640705"
"apple","neutral","125640679325052929"
"microsoft","neutral","126797207159582720"
"microsoft","irrelevant","126765752928829441"
"apple","neutral","125206271560384512"
"apple","neutral","126302719882444801"
"twitter","neutral","126872511492263937"
"twitter","irrelevant","126866701877903361"
"google","positive","126499581520384001"
"google","neutral","126525169756946432"
"apple","neutral","125801811817922561"
"twitter","neutral","126880178705141762"
"twitter","irrelevant","126862315990679552"
"google","positive","126496155856142336"
"twitter","neutral","126864237200023553"
"microsoft","negative","126622538557177856"
